donation_id,donation_date,city,state,donor_type,food_type,quantity_donated_kg,quantity_available_kg,shelf_life_hours,storage_condition,storage_temp_C,distance_to_foodbank_km,foodbank_id,foodbank_capacity_kg,current_stock_kg,beneficiaries_count,transport_available,redistribution_priority,donor_contact_number,remarks
DON-0279,2026-02-28,Jaipur,Rajasthan,Restaurant,VEGETABLES ,-60.8,52.3,38.0,Room,23.0,5.9,FB-02,500,213,316.0,,MEDIUM ,+91-988561743,festival surplus
DON-0449,2026-02-14,ludhiana,Punjab,Wedding Hall,Wheat Flour,52.2,46.5,151.0,Cold,2.9,13.4,FB-04,1000,306,328.0,,med,+91-988883150,urgent pickup
DON-0080,2026-02-26,Patiala,Punjab,Supermarket,Bread/Bakery,127.9,106.3,21.0,Room,33.1,6.4,FB-02,800,407,173.0,YES ,HIGH ,+91-984246417,ok
DON-0024,2026-02-22,Patiala,Punjab,Farm,Fruits,84.3,79.7,57.0,Cold,4.2,6.4,FB-02,1500,1406,428.0,N,med,+91-985345760,urgent pickup
DON-0288,2026-03-06,Delhi,Delhi,Supermarket,Bread/Bakery,61.2,36.9,,No Storage,33.3,15.2,FB-02,800,653,424.0,no ,med,+91-983873798,urgent pickup
DON-0302,2026-03-06,Bathinda,Punjab,Restaurant,cooked meals ,105.2,68.4,9.0,No Storage,32.5,9.4,FB-05,500,474,371.0,N,High,+91-988249433,festival surplus
DON-0281,2026-01-31,Jalandhar,Punjab,Farm,RICE,100.9,60.1,52.0,Room,26.5,3.1,FB-02,1000,420,326.0,Yes,MEDIUM ,+91-988334291,ok
DON-0245,2026-01-25,LUDHIANA ,Punjab,Restaurant,Bread/Bakery,133.3,127.0,8.0,Room,25.8,28.7,FB-04,800,426,269.0,no ,med,+91-981254043,festival surplus
DON-0291,2026-02-08,AMRITSAR,Punjab,Wedding Hall,Cooked Meals,167.6,102.4,8.0,Cold,2.6,23.9,FB-02,800,92,118.0,Y,med,+91-983429488,urgent pickup
DON-0330,2026-01-25,Bathinda,Punjab,Supermarket,Dairy,80.4,46.7,30.0,Cold,4.6,3.9,FB-02,1000,836,449.0,NO,MEDIUM ,+91-986306175,festival surplus
DON-0138,2026-02-27,Bathinda,Punjab,Gurudwara Langar,cooked meals ,84.7,68.6,9.0,Cold,3.0,6.4,FB-04,500,322,384.0,YES ,High,+91-989935827,ok
DON-0189,2026-01-06,Bathinda,Punjab,Farm,Vegetables,47.5,28.4,18.0,Cold,6.5,17.7,FB-02,500,335,277.0,Y,MEDIUM ,+91-984600952,urgent pickup
DON-0166,2026-01-26,Patiala,Punjab,Supermarket,Dairy,69.4,67.1,30.0,Room,22.0,26.2,FB-01,1000,818,174.0,YES ,med,+91-988199107,ok
DON-0297,2026-02-27,Bathinda,Punjab,Gurudwara Langar,vegetables,78.9,55.3,32.0,Cold,5.6,15.0,FB-02,1500,743,257.0,Yes,Medium,+91-986766392,urgent pickup
DON-0010,2026-01-12,amritsar ,Punjab,Gurudwara Langar,Wheat Flour,111.0,98.3,130.0,Room,27.5,6.2,FB-05,500,124,229.0,,Medium,+91-987730886,festival surplus
DON-0197,2026-02-26,Jaipur,Rajasthan,Household,Dairy,63.9,53.3,38.0,Cold,2.8,13.2,FB-05,800,352,119.0,yes,med,+91-988729578,urgent pickup
DON-0232,2026-01-08,Delhi,Delhi,Restaurant,Dairy,116.0,97.1,10.0,Room,27.3,17.0,FB-03,500,289,122.0,YES ,HIGH ,+91-983812753,ok
DON-0320,2026-01-12,LUDHIANA ,Punjab,Restaurant,Rice,62.4,39.7,33.0,Cold,2.0,17.0,FB-05,1500,1396,167.0,Y,med,+91-982940483,festival surplus
DON-0182,2026-01-10,Bathinda,Punjab,Farm,Bread/Bakery,105.1,75.6,19.0,Cold,2.3,10.1,FB-04,500,228,75.0,Y,Medium,+91-982569720,
DON-0266,2026-01-09,Jaipur,Rajasthan,Restaurant,Bread/Bakery,132.8,120.6,17.0,No Storage,33.0,9.3,FB-03,1000,873,455.0,Yes,High,+91-982764688,urgent pickup
DON-0085,2026-01-26,amritsar ,Punjab,Restaurant,vegetables,81.1,48.8,38.0,Room,27.6,12.5,FB-05,800,652,264.0,NO,med,+91-982265898,ok
DON-0175,2026-01-26,chandigarh ,Chandigarh UT,Supermarket,Dairy,92.0,,10.0,Cold,2.7,4.9,FB-01,500,295,204.0,No,High,+91-984383973,festival surplus
DON-0548,2026-01-12,Jalandhar,Punjab,Hostel Mess,Dairy,77.4,71.1,22.0,Room,27.7,9.5,FB-05,800,237,322.0,Yes,HIGH ,+91-982861591,urgent pickup
DON-0219,2026-02-27,amritsar ,Punjab,Wedding Hall,COOKED MEALS,122.5,115.7,7.0,Room,27.4,13.1,FB-03,1000,792,148.0,NO,high,+91-983029341,urgent pickup
DON-0317,2026-01-21,Patiala,Punjab,Household,Dairy,91.0,65.3,,Cold,2.9,23.4,FB-03,1000,453,344.0,yes,med,+91-981174588,festival surplus
DON-0491,2026-01-31,Delhi,Delhi,Hostel Mess,Bread/Bakery,88.7,55.7,23.0,Room,22.2,21.6,FB-02,1500,900,337.0,No,Medium,+91-985926423,ok
DON-0391,2026-02-09,Delhi,Delhi,Gurudwara Langar,Dairy,99.6,77.2,27.0,Room,21.7,13.6,FB-04,500,65,277.0,N,Medium,+91-988342451,ok
DON-0214,2026-01-11,CHANDIGARH,Chandigarh UT,Gurudwara Langar,Wheat Flour,60.6,39.5,116.0,No Storage,32.5,19.2,FB-05,1000,169,409.0,Yes,MEDIUM ,+91-987192357,festival surplus
DON-0154,2026-02-26,AMRITSAR,Punjab,Farm,Rice,142.4,127.1,62.0,Cold,2.4,18.9,FB-05,1500,393,132.0,Y,med,+91-986735630,
DON-0076,2026-03-05,Amritsar,Punjab,Farm,VEGETABLES ,119.7,81.4,46.0,Cold,2.9,20.5,FB-04,800,384,277.0,Y,Medium,+91-982794291,urgent pickup
DON-0093,2026-02-06,Jaipur,Rajasthan,Farm,Bread/Bakery,128.3,116.2,20.0,Room,22.5,5.9,FB-04,500,127,128.0,NO,med,+91-981206487,ok
DON-0431,2026-02-15,LUDHIANA ,Punjab,Supermarket,Wheat Flour,129.1,118.4,127.0,No Storage,28.6,14.2,FB-05,1500,934,79.0,YES ,MEDIUM ,+91-988436391,ok
DON-0069,2026-02-20,Bathinda,Punjab,Hostel Mess,Rice,178.2,100.0,47.0,Room,28.1,28.6,FB-02,1500,1368,301.0,Yes,MEDIUM ,+91-985156532,
DON-0016,2026-01-14,Bathinda,Punjab,Farm,Fruits,104.5,76.3,71.0,Cold,5.9,21.2,FB-02,800,414,112.0,YES ,LOW,+91-984693305,festival surplus
DON-0193,2026-01-24,Jalandhar,Punjab,Supermarket,Rice,25.9,24.2,29.0,Room,24.6,16.2,FB-01,1000,727,375.0,YES ,med,+91-988583491,festival surplus
DON-0376,2026-02-21,chandigarh ,Chandigarh UT,Restaurant,Vegetables,164.0,151.9,46.0,Room,24.7,17.7,FB-03,1500,1146,111.0,Yes,MEDIUM ,+91-981556831,
DON-0089,2026-01-28,Bathinda,Punjab,Restaurant,Bread/Bakery,63.1,48.5,15.0,Cold,4.5,46.7,FB-04,1500,560,193.0,Yes,MEDIUM ,+91-987444345,urgent pickup
DON-0519,2026-02-16,Bathinda,Punjab,Restaurant,VEGETABLES ,50.7,37.4,44.0,Cold,5.2,16.6,FB-02,800,724,155.0,Yes,med,+91-987798161,festival surplus
DON-0118,2026-02-22,Bathinda,Punjab,Supermarket,Cooked Meals,17.8,14.6,8.0,Cold,2.3,18.9,FB-04,500,439,159.0,no ,med,+91-986070414,ok
DON-0410,2026-01-16,Jaipur,Rajasthan,Gurudwara Langar,Rice,68.5,62.7,88.0,Room,19.0,10.5,FB-02,1000,551,137.0,yes,Medium,+91-989757529,urgent pickup
DON-0435,2026-01-25,Patiala,Punjab,Gurudwara Langar,Dairy,108.9,81.3,34.0,Cold,2.8,16.2,FB-03,1500,1245,254.0,YES ,MEDIUM ,+91-981824026,ok
DON-0034,2026-02-24,Jaipur,Rajasthan,Farm,Fruits,67.6,60.3,40.0,Cold,3.4,2.7,FB-01,800,635,274.0,YES ,MEDIUM ,+91-983562469,ok
DON-0001,2026-03-05,Delhi,Delhi,Hostel Mess,Bread/Bakery,116.8,72.1,26.0,Cold,4.4,10.0,FB-04,800,436,85.0,Y,MEDIUM ,+91-984275709,festival surplus
DON-0119,2026-01-17,Delhi,Delhi,Gurudwara Langar,Fruits,165.3,,43.0,No Storage,34.5,11.7,FB-03,800,293,152.0,No,med,+91-983188370,ok
DON-0554,2026-01-26,Delhi,Delhi,Farm,Fruits,158.2,128.5,45.0,Room,24.2,41.2,FB-04,500,266,92.0,Yes,Medium,+91-987344661,ok
DON-0370,2026-02-25,Jaipur,Rajasthan,Hostel Mess,Rice,86.4,64.2,0.0,Room,21.7,30.9,FB-02,1500,1289,404.0,Y,Medium,+91-989584036,
DON-0356,2026-02-09,Jaipur,Rajasthan,Household,Bread/Bakery,159.8,122.2,,Cold,4.6,32.8,FB-03,1000,604,251.0,Y,med,+91-982410124,ok
DON-0454,2026-01-29,amritsar ,Punjab,Household,Fruits,57.5,52.4,17.0,Cold,3.7,20.3,FB-05,800,307,158.0,YES ,Medium,+91-982743579,urgent pickup
DON-0552,2026-01-13,ludhiana,Punjab,Restaurant,Bread/Bakery,104.6,87.0,17.0,Cold,5.2,14.3,FB-02,1500,722,328.0,YES ,high,+91-984320938,ok
DON-0023,2026-01-21,Bathinda,Punjab,Wedding Hall,Wheat Flour,97.7,55.6,116.0,Room,22.5,2.9,FB-04,500,464,174.0,Y,Medium,+91-985010912,ok
DON-0473,2026-02-06,Chandigarh,Chandigarh UT,Restaurant,VEGETABLES ,26.0,19.3,28.0,Room,24.8,11.0,FB-01,800,372,83.0,NO,LOW,+91-989969028,urgent pickup
DON-0117,2026-02-03,Jalandhar,Punjab,Hostel Mess,Rice,35.5,27.2,86.0,Cold,5.4,7.2,FB-03,800,298,153.0,Yes,MEDIUM ,+91-989291860,festival surplus
DON-0090,2026-01-13,Bathinda,Punjab,Hostel Mess,Wheat Flour,52.0,38.3,113.0,Cold,4.7,19.1,FB-04,1500,1151,204.0,YES ,med,+91-985698713,
DON-0183,2026-02-09,Jalandhar,Punjab,Gurudwara Langar,RICE,151.4,109.2,72.0,Cold,4.7,12.0,FB-04,1500,673,332.0,YES ,High,+91-984861460,
DON-0496,2026-01-29,Bathinda,Punjab,Household,Fruits,60.2,36.2,35.0,No Storage,33.5,6.2,FB-04,500,238,72.0,yes,MEDIUM ,+91-986851605,urgent pickup
DON-0412,2026-01-09,CHANDIGARH,Chandigarh UT,Hostel Mess,Fruits,57.8,40.9,43.0,No Storage,27.2,4.2,FB-02,1000,757,284.0,YES ,MEDIUM ,+91-985463593,festival surplus
DON-0019,2026-02-25,Delhi,Delhi,Farm,Bread/Bakery,64.3,59.1,26.0,Room,28.9,20.2,FB-04,500,434,196.0,Yes,med,+91-984599865,festival surplus
DON-0429,2026-02-20,Amritsar,Punjab,Gurudwara Langar,Vegetables,58.4,44.5,22.0,Room,25.9,8.4,FB-03,1000,251,222.0,yes,med,+91-981684143,ok
DON-0536,2026-01-31,Amritsar,Punjab,Restaurant,Dairy,103.2,96.1,27.0,Room,22.0,14.0,FB-05,1500,697,,YES ,Medium,+91-984291508,ok
DON-0145,2026-01-29,chandigarh ,Chandigarh UT,Farm,Cooked Meals,34.3,20.5,11.0,No Storage,33.8,12.2,FB-01,1500,1328,410.0,YES ,High,+91-987086932,ok
DON-0303,2026-03-10,Amritsar,Punjab,Gurudwara Langar,Dairy,74.1,42.7,30.0,No Storage,32.8,17.4,FB-01,1000,304,231.0,No,Low,+91-988020480,
DON-0566,2026-03-06,Patiala,Punjab,Gurudwara Langar,Wheat Flour,37.6,35.4,156.0,Cold,4.9,8.3,FB-02,1000,398,387.0,YES ,MEDIUM ,+91-983114564,festival surplus
DON-0558,2026-01-16,Patiala,Punjab,Gurudwara Langar,Dairy,76.4,59.0,26.0,Cold,6.6,9.5,FB-01,800,237,287.0,Y,Medium,+91-985779577,ok
DON-0426,2026-01-15,Chandigarh,Chandigarh UT,Gurudwara Langar,Dairy,83.1,54.6,23.0,Cold,2.9,10.1,FB-04,1000,756,77.0,NO,MEDIUM ,+91-981677551,ok
DON-0273,2026-02-08,chandigarh ,Chandigarh UT,Supermarket,RICE,159.9,131.4,48.0,Room,25.7,30.0,FB-04,800,660,199.0,No,med,+91-988074533,festival surplus
DON-0262,2026-03-10,Amritsar,Punjab,Restaurant,Dairy,137.0,79.9,18.0,Room,21.5,23.1,FB-02,800,529,302.0,No,MEDIUM ,+91-988138512,festival surplus
DON-0363,2026-03-01,chandigarh ,Chandigarh UT,Supermarket,Wheat Flour,69.8,40.4,167.0,Room,24.9,24.8,FB-03,1000,214,128.0,Yes,MEDIUM ,+91-983097951,
DON-0430,2026-02-28,Jalandhar,Punjab,Supermarket,cooked meals ,156.2,125.6,6.0,Room,21.9,24.0,FB-03,1000,739,275.0,Yes,high,+91-981502939,ok
DON-0168,2026-02-25,chandigarh ,Chandigarh UT,Supermarket,Cooked Meals,103.8,88.7,8.0,Room,27.3,10.8,FB-01,1500,800,163.0,Y,High,+91-982308014,ok
DON-0055,2026-03-03,Patiala,Punjab,Restaurant,VEGETABLES ,166.5,113.1,32.0,Room,28.6,9.8,FB-05,1000,798,276.0,no ,Medium,+91-985421590,urgent pickup
DON-0442,2026-02-12,Bathinda,Punjab,Supermarket,Dairy,66.5,47.3,34.0,Room,22.8,13.4,FB-05,800,109,396.0,Y,MEDIUM ,+91-983123120,ok
DON-0047,2026-01-28,Amritsar,Punjab,Household,Bread/Bakery,93.1,73.5,15.0,Room,23.9,19.5,FB-03,1000,776,425.0,Yes,Medium,+91-989948331,
DON-0094,2026-02-11,Bathinda,Punjab,Hostel Mess,rice ,158.3,128.8,76.0,Cold,3.6,7.8,FB-02,800,666,475.0,N,Medium,+91-988370683,festival surplus
DON-0305,2026-03-08,amritsar ,Punjab,Restaurant,Dairy,35.6,23.7,31.0,No Storage,27.5,8.3,FB-02,500,385,51.0,YES ,Low,+91-982350093,
DON-0109,2026-02-21,Bathinda,Punjab,Restaurant,COOKED MEALS,130.0,97.6,10.0,Room,25.2,16.1,FB-03,1000,828,374.0,YES ,High,+91-983538143,urgent pickup
DON-0293,2026-02-08,CHANDIGARH,Chandigarh UT,Supermarket,Cooked Meals,91.7,,6.0,Cold,3.9,4.5,FB-01,1500,1122,236.0,Yes,High,+91-984033932,
DON-0196,2026-02-18,Bathinda,Punjab,Restaurant,cooked meals ,115.8,79.0,8.0,Room,25.7,4.0,FB-01,800,397,229.0,Y,High,+91-989009806,urgent pickup
DON-0213,2026-01-30,chandigarh ,Chandigarh UT,Restaurant,RICE,63.3,56.8,63.0,No Storage,32.2,17.8,FB-05,800,305,148.0,Y,med,+91-986942654,festival surplus
DON-0514,2026-01-12,Jaipur,Rajasthan,Farm,Rice,63.7,54.7,75.0,No Storage,34.6,14.2,FB-03,1000,869,245.0,yes,med,+91-987920343,
DON-0468,2026-02-24,Chandigarh,Chandigarh UT,Supermarket,VEGETABLES ,44.5,41.7,31.0,No Storage,20.5,9.7,FB-01,1500,665,373.0,Yes,Medium,+91-985010673,festival surplus
DON-0371,2026-01-19,Bathinda,Punjab,Hostel Mess,Bread/Bakery,88.7,62.3,11.0,Cold,5.1,20.3,FB-04,1000,932,182.0,Y,MEDIUM ,+91-984014130,
DON-0408,2026-01-30,Bathinda,Punjab,Hostel Mess,Dairy,138.5,81.1,22.0,Room,25.1,6.4,FB-05,1000,616,228.0,Yes,high,+91-988017191,urgent pickup
DON-0008,2026-01-24,Bathinda,Punjab,Supermarket,Dairy,89.2,74.8,18.0,Room,29.2,19.2,FB-01,500,186,589.0,YES ,med,+91-988473915,festival surplus
DON-0413,2026-01-11,CHANDIGARH,Chandigarh UT,Gurudwara Langar,Bread/Bakery,155.9,,24.0,No Storage,35.8,2.8,FB-01,800,134,470.0,NO,high,+91-987157703,
DON-0424,2026-01-23,chandigarh ,Chandigarh UT,Hostel Mess,Dairy,192.2,269.08,24.0,No Storage,31.7,3.2,FB-05,1500,268,346.0,No,HIGH ,+91-987216618,
DON-0285,2026-02-16,AMRITSAR,Punjab,Wedding Hall,Wheat Flour,56.4,47.2,,Cold,4.0,13.2,FB-03,500,326,158.0,Yes,Medium,+91-981944353,urgent pickup
DON-0276,2026-03-05,Delhi,Delhi,Restaurant,COOKED MEALS,113.5,100.1,7.0,Room,26.6,9.8,FB-01,500,454,634.0,yes,High,+91-987955038,festival surplus
DON-0582,2026-01-30,Bathinda,Punjab,Wedding Hall,rice ,178.7,153.8,78.0,No Storage,36.7,7.7,FB-05,800,314,120.0,YES ,Medium,+91-981316575,
DON-0070,2026-01-11,Delhi,Delhi,Gurudwara Langar,Wheat Flour,50.0,31.7,102.0,Cold,4.7,15.6,FB-02,1500,1064,268.0,Y,Medium,+91-987143326,
DON-0265,2026-01-22,Jalandhar,Punjab,Gurudwara Langar,Dairy,43.1,34.4,41.0,Cold,8.0,20.6,FB-04,1500,451,292.0,yes,Medium,+91-986768212,
DON-0433,2026-02-02,Patiala,Punjab,Supermarket,Wheat Flour,99.9,67.6,55.0,Cold,4.8,5.3,FB-01,800,536,249.0,yes,med,+91-989762927,ok
DON-0299,2026-03-04,ludhiana,Punjab,Restaurant,RICE,215.7,148.3,41.0,Cold,6.6,16.6,FB-04,1500,220,,Yes,med,+91-986523632,
DON-0250,2026-01-24,Delhi,Delhi,Wedding Hall,Bread/Bakery,56.4,45.1,16.0,Room,22.1,54.2,FB-04,1500,715,265.0,Yes,med,+91-984762853,festival surplus
DON-0573,2026-03-01,Jaipur,Rajasthan,Restaurant,vegetables,58.7,57.5,24.0,No Storage,33.6,10.7,FB-02,800,276,173.0,N,Medium,+91-982923413,festival surplus
DON-0275,2026-01-22,CHANDIGARH,Chandigarh UT,Hostel Mess,Dairy,61.9,39.5,22.0,Cold,5.0,11.7,FB-02,800,584,376.0,Yes,High,+91-987604168,urgent pickup
DON-0150,2026-02-24,Bathinda,Punjab,Gurudwara Langar,rice ,100.4,90.7,109.0,No Storage,29.0,29.3,FB-02,500,425,150.0,N,MEDIUM ,+91-982493551,urgent pickup
DON-0125,2026-02-26,Ludhiana,Punjab,Farm,Fruits,161.3,121.6,48.0,No Storage,27.4,9.1,FB-02,500,382,168.0,Yes,med,+91-981734275,festival surplus
DON-0470,2026-01-27,Jalandhar,Punjab,Gurudwara Langar,Wheat Flour,119.8,109.7,176.0,Room,27.5,20.1,FB-05,800,421,266.0,Y,MEDIUM ,+91-988290985,festival surplus
DON-0531,2026-02-28,Ludhiana,Punjab,Household,Rice,170.5,,78.0,Cold,3.9,4.8,FB-04,800,668,492.0,YES ,High,+91-985930952,festival surplus
DON-0186,2026-01-20,Chandigarh,Chandigarh UT,Supermarket,Dairy,50.5,49.3,30.0,Cold,4.9,15.7,FB-05,1500,939,96.0,yes,Low,+91-982417231,urgent pickup
DON-0334,2026-02-16,Jalandhar,Punjab,Gurudwara Langar,Rice,-105.2,62.7,82.0,Cold,4.0,17.6,FB-02,800,253,247.0,yes,Medium,+91-987432975,ok
DON-0313,2026-03-07,LUDHIANA ,Punjab,Household,Fruits,132.7,115.6,48.0,Room,23.7,13.3,FB-01,1000,611,343.0,NO,med,+91-986162425,urgent pickup
DON-0478,2026-01-27,Bathinda,Punjab,Household,Vegetables,129.9,85.2,50.0,Room,22.0,35.9,FB-04,500,117,122.0,No,med,+91-987162043,urgent pickup
DON-0311,2026-01-20,Delhi,Delhi,Restaurant,Wheat Flour,36.2,27.1,192.0,No Storage,28.7,22.1,FB-01,800,140,299.0,Y,low ,+91-981524658,ok
DON-0350,2026-02-05,Patiala,Punjab,Hostel Mess,Wheat Flour,95.8,,86.0,Room,21.5,16.0,FB-03,500,98,230.0,no ,med,+91-986842488,urgent pickup
DON-0032,2026-01-07,Patiala,Punjab,Household,Vegetables,179.9,154.5,35.0,Room,24.7,19.8,FB-04,1000,701,206.0,NO,med,+91-985476576,urgent pickup
DON-0587,2026-02-08,Delhi,Delhi,Restaurant,Wheat Flour,103.6,82.4,122.0,Room,27.2,7.7,FB-04,500,97,234.0,NO,Medium,+91-982100100,ok
DON-0507,2026-03-10,Amritsar,Punjab,Restaurant,Rice,43.2,,83.0,No Storage,30.8,18.6,FB-04,1500,241,216.0,yes,Medium,+91-985725326,ok
DON-0569,2026-01-25,Jalandhar,Punjab,Gurudwara Langar,vegetables,86.0,50.2,23.0,No Storage,28.2,14.6,FB-01,1000,838,305.0,yes,HIGH ,+91-982913894,urgent pickup
DON-0487,2026-01-10,chandigarh ,Chandigarh UT,Supermarket,RICE,120.4,116.8,66.0,No Storage,30.3,13.7,FB-01,1500,825,174.0,N,MEDIUM ,+91-983552387,festival surplus
DON-0142,2026-02-16,Jaipur,Rajasthan,Wedding Hall,Dairy,59.7,56.3,22.0,Room,20.2,28.6,FB-02,800,565,273.0,yes,med,+91-987296495,urgent pickup
DON-0020,2026-01-12,Jaipur,Rajasthan,Supermarket,Wheat Flour,140.7,134.6,197.0,Room,26.2,14.5,FB-05,1500,242,300.0,YES ,med,+91-987243669,
DON-0173,2026-01-27,AMRITSAR,Punjab,Hostel Mess,Fruits,54.1,42.1,47.0,Cold,1.2,22.7,FB-04,1000,891,242.0,Yes,med,+91-983023615,festival surplus
DON-0484,2026-03-07,Delhi,Delhi,Hostel Mess,Cooked Meals,131.1,97.0,7.0,Room,30.0,16.5,FB-04,1000,207,517.0,No,high,+91-983981899,festival surplus
DON-0483,2026-03-08,Bathinda,Punjab,Gurudwara Langar,Rice,166.4,128.0,88.0,Room,22.4,19.9,FB-01,1000,152,331.0,,med,+91-981280759,festival surplus
DON-0026,2026-02-11,Amritsar,Punjab,Wedding Hall,Rice,60.7,47.0,65.0,Room,25.2,33.9,FB-01,500,106,449.0,Y,Medium,+91-981317537,urgent pickup
DON-0447,2026-03-03,Ludhiana,Punjab,Farm,vegetables,97.8,86.6,54.0,Cold,5.3,10.3,FB-01,800,319,109.0,yes,med,+91-982053580,urgent pickup
DON-0590,2026-01-27,Jalandhar,Punjab,Wedding Hall,Wheat Flour,73.8,64.2,64.0,Room,21.6,12.4,FB-04,500,265,226.0,YES ,med,+91-981531088,urgent pickup
DON-0285,2026-02-16,amritsar ,Punjab,Wedding Hall,Wheat Flour,56.4,,149.0,Cold,4.0,13.2,FB-03,500,326,158.0,Yes,MEDIUM ,+91-981944353,urgent pickup
DON-0319,2026-02-07,LUDHIANA ,Punjab,Gurudwara Langar,Dairy,70.9,47.1,18.0,Cold,5.0,7.3,FB-05,500,432,187.0,YES ,Medium,+91-988322933,festival surplus
DON-0246,2026-02-25,Jaipur,Rajasthan,Household,Bread/Bakery,91.6,60.7,14.0,Room,24.6,22.1,FB-02,500,216,486.0,Y,med,+91-989940203,ok
DON-0339,2026-02-05,Jaipur,Rajasthan,Household,Dairy,70.7,42.5,29.0,Cold,3.4,19.1,FB-05,800,240,173.0,YES ,Medium,+91-984801082,ok
DON-0155,2026-03-04,Jaipur,Rajasthan,Wedding Hall,Dairy,119.3,105.3,19.0,Cold,4.7,23.0,FB-04,1500,1244,207.0,yes,Medium,+91-985603623,festival surplus
DON-0127,2026-01-30,CHANDIGARH,Chandigarh UT,Wedding Hall,Dairy,147.7,108.7,13.0,Cold,3.6,14.2,FB-01,800,483,270.0,yes,HIGH ,+91-986440107,festival surplus
DON-0368,2026-02-08,Patiala,Punjab,Hostel Mess,VEGETABLES ,86.0,83.6,31.0,Room,25.2,15.4,FB-05,500,370,78.0,,med,+91-984430460,urgent pickup
DON-0114,2026-02-24,Delhi,Delhi,Hostel Mess,Fruits,102.4,,71.0,Room,27.0,-11.2,FB-02,1500,514,311.0,Yes,HIGH ,+91-982162189,festival surplus
DON-0174,2026-03-08,Jaipur,Rajasthan,Gurudwara Langar,Cooked Meals,124.8,72.7,6.0,Room,22.5,12.1,FB-04,1000,659,137.0,yes,High,+91-984503548,ok
DON-0058,2026-02-19,Amritsar,Punjab,Restaurant,Dairy,41.1,28.1,28.0,Room,17.7,21.1,FB-01,1500,1144,227.0,Yes,MEDIUM ,+91-989033951,festival surplus
DON-0345,2026-01-23,LUDHIANA ,Punjab,Farm,Dairy,91.5,83.5,19.0,No Storage,29.6,37.1,FB-05,1000,347,181.0,NO,MEDIUM ,+91-981872109,ok
DON-0223,2026-02-09,ludhiana,Punjab,Gurudwara Langar,Fruits,227.7,189.3,500.0,Cold,2.6,9.4,FB-05,1000,321,172.0,No,Medium,+91-986857846,
DON-0018,2026-02-09,Jalandhar,Punjab,Gurudwara Langar,Rice,128.3,115.5,61.0,Cold,4.5,16.5,FB-05,500,169,,N,MEDIUM ,+91-984970001,ok
DON-0321,2026-03-03,Patiala,Punjab,Farm,Bread/Bakery,66.7,61.5,19.0,No Storage,32.5,5.1,FB-02,800,524,150.0,Yes,MEDIUM ,+91-983916596,urgent pickup
DON-0256,2026-01-06,Patiala,Punjab,Restaurant,VEGETABLES ,89.0,59.1,29.0,No Storage,22.4,13.8,FB-03,1500,1423,199.0,Y,MEDIUM ,+91-984631453,ok
DON-0328,2026-02-17,Delhi,Delhi,Gurudwara Langar,Fruits,101.1,79.8,29.0,Room,22.8,-1.6,FB-05,1500,818,229.0,YES ,med,+91-985325001,festival surplus
DON-0592,2026-01-22,Jalandhar,Punjab,Supermarket,Bread/Bakery,97.8,60.3,25.0,Room,34.4,24.4,FB-03,1000,388,84.0,yes,med,+91-989248892,
DON-0191,2026-01-31,Jalandhar,Punjab,Restaurant,Fruits,71.1,58.5,44.0,Room,28.5,3.3,FB-04,500,403,321.0,yes,med,+91-982596246,
DON-0342,2026-01-27,chandigarh ,Chandigarh UT,Restaurant,rice ,100.0,67.2,97.0,No Storage,28.4,15.6,FB-04,500,76,126.0,YES ,Medium,+91-982245749,urgent pickup
DON-0544,2026-02-21,Jaipur,Rajasthan,Hostel Mess,Fruits,77.4,50.7,51.0,No Storage,32.0,20.4,FB-05,500,408,182.0,Y,Medium,+91-989622654,
DON-0292,2026-03-10,Chandigarh,Chandigarh UT,Farm,Fruits,43.8,39.3,28.0,Room,25.9,7.4,FB-05,500,295,205.0,Y,Medium,+91-981209720,festival surplus
DON-0095,2026-01-30,ludhiana,Punjab,Household,Wheat Flour,79.3,50.5,94.0,Cold,3.2,16.6,FB-04,800,242,202.0,NO,low ,+91-988440449,ok
DON-0181,2026-02-03,Jalandhar,Punjab,Household,VEGETABLES ,144.5,118.0,52.0,No Storage,24.5,4.0,FB-02,1000,854,165.0,yes,Medium,+91-981297883,urgent pickup
DON-0396,2026-02-18,Ludhiana,Punjab,Farm,cooked meals ,114.6,76.3,8.0,Cold,4.4,16.9,FB-03,1000,223,291.0,Y,MEDIUM ,+91-989726458,ok
DON-0355,2026-02-02,Delhi,Delhi,Wedding Hall,Bread/Bakery,100.8,77.1,10.0,Room,27.3,26.0,FB-03,800,431,159.0,N,med,+91-986473024,festival surplus
DON-0551,2026-01-15,Jalandhar,Punjab,Supermarket,Rice,76.1,,34.0,Cold,3.6,12.0,FB-03,500,225,144.0,yes,Medium,+91-988736334,
DON-0335,2026-02-02,Bathinda,Punjab,Wedding Hall,Rice,141.0,98.1,122.0,No Storage,37.6,14.6,FB-03,1000,833,131.0,No,Medium,+91-982193728,festival surplus
DON-0006,2026-02-10,chandigarh ,Chandigarh UT,Supermarket,vegetables,73.5,68.6,50.0,No Storage,28.7,10.9,FB-01,1000,105,101.0,yes,Medium,+91-985422880,festival surplus
DON-0046,2026-01-16,amritsar ,Punjab,Wedding Hall,rice ,54.5,31.8,,No Storage,37.8,20.3,FB-05,800,513,413.0,NO,MEDIUM ,+91-988597626,urgent pickup
